"","Source","Sink","Time","L_Edge_weight","O_Edge_weight","Cov_Edge_weight","Recovery","CovariateStrength"
"240","sp13","sp29",6,0.0924892138369409,0.10240696458598,0.102291923475864,3,0.1
"241","sp13","sp29",9,0.0421543848427512,0.0235579140107184,0.0378349070946418,3,0.1
"242","sp13","sp31",5,-0.000227190304954453,-0.00102543068519816,NA,1,0.1
"243","sp13","sp31",7,NA,NA,-0.00153152814079645,0,0.1
"244","sp13","sp31",10,NA,NA,-0.000334445173954277,0,0.1
"245","sp13","sp40",5,0.00683520139853572,0.0136652464785773,0.0266618596525597,3,0.1
"246","sp13","sp47",7,NA,NA,0.000809542613183995,0,0.1
"247","sp14","sp17",8,-0.000212559414426312,NA,NA,0,0.1
"248","sp14","sp32",2,-0.0184561465728723,NA,-0.00703923367652831,0,0.1
"249","sp14","sp32",8,-0.0330827865291864,-0.0481084287163092,-0.0382132221516385,3,0.1
"250","sp14","sp47",8,NA,0.000242647117726351,0.000201533895059388,2,0.1
"251","sp15","sp24",3,NA,-0.00460656030343337,NA,0,0.1
"252","sp15","sp29",5,NA,0.000975785450807374,NA,0,0.1
"253","sp15","sp31",2,-0.0134763447256217,NA,-0.0209403665657648,0,0.1
"254","sp15","sp31",3,-0.0742882600760192,-0.0616225929808529,-0.0842752146519335,3,0.1
"255","sp15","sp31",4,NA,-0.00207000470393064,-0.0017029716718369,2,0.1
"256","sp15","sp31",5,-0.0369930095648249,-0.0391312715378131,-0.033452301359808,3,0.1
"257","sp15","sp31",7,-0.177146324815533,-0.178347239985883,-0.187227659406579,3,0.1
"258","sp15","sp31",8,-0.0100165366805464,-0.0142251496431837,-0.0245812483657474,3,0.1
"259","sp15","sp31",9,-0.0415064336765147,-0.0392594779603861,-0.0535671200133006,3,0.1
"260","sp15","sp31",10,NA,NA,-0.00510532466258057,0,0.1
"261","sp15","sp35",3,-0.00297090141357212,-0.00272603212813354,-0.00282815249962069,3,0.1
"262","sp15","sp35",5,-0.00158273359902796,-0.00166943190832263,-0.000897481035174848,3,0.1
"263","sp15","sp40",5,NA,0.000358096287425645,NA,0,0.1
"264","sp15","sp45",3,NA,-0.0117395502115155,-0.00293100866003959,2,0.1
"265","sp15","sp47",3,0.0311425618300427,0.0115435679477003,0.0437935066669894,3,0.1
"266","sp15","sp47",5,0.000416346787176922,0.00354551806734708,0.000445118866356447,3,0.1
"267","sp15","sp47",7,0.0941985804685318,0.110283745394128,0.0989657092278458,3,0.1
"268","sp15","sp47",9,0.00340992258298582,0.00391932597454471,0.00489641580240813,3,0.1
"269","sp16","sp48",7,NA,0.00638087148474781,NA,0,0.1
"270","sp17","sp32",4,0.00442808555288648,NA,0.00291959159559418,0,0.1
"271","sp17","sp32",8,0.00898491466246469,0.00361604871314536,0.00492332175556705,3,0.1
"272","sp17","sp32",10,0.0232114071023172,0.0200443189460046,0.013990877882694,3,0.1
"273","sp18","sp20",7,NA,-0.00973680682087957,-0.0101074713081326,2,0.1
"274","sp18","sp25",2,NA,-0.018475681047039,NA,0,0.1
"275","sp18","sp33",6,NA,0.0328889583901627,NA,0,0.1
"276","sp18","sp50",2,-0.0138031613017947,-0.0198306185565017,-0.0152825373579114,3,0.1
"277","sp18","sp50",3,-0.023320061903792,-0.0181144669682718,-0.0324096802319728,3,0.1
"278","sp18","sp50",6,-0.00114601990908758,-0.002455987114973,-0.00193505007263788,3,0.1
"279","sp18","sp50",8,-0.00446719743658768,-0.012165451225271,-0.00283090933396109,3,0.1
"280","sp18","sp50",10,-0.000547238410133011,-0.000228423455510598,-0.000568713531115118,3,0.1
"281","sp19","sp34",4,NA,-0.028696147295574,-0.00611586609342297,2,0.1
"282","sp19","sp34",6,-0.0114977689462295,-0.0241861667956018,-0.00874559084387244,3,0.1
"283","sp19","sp34",10,-0.0220089404501919,NA,-0.0116494100949219,0,0.1
"284","sp19","sp40",4,NA,0.000798172499281068,0.000215411895362526,2,0.1
"285","sp19","sp40",6,0.000565603840118912,0.00113803912153005,0.000350572156435031,3,0.1
"286","sp19","sp49",2,0.0833695755366753,0.0686618827413985,0.0491447181291677,3,0.1
"287","sp19","sp49",4,0.0108487958707096,0.0137241662369056,0.0121109948342984,3,0.1
"288","sp19","sp49",6,NA,0.0202684541925565,0.0135996778639791,2,0.1
"289","sp19","sp49",10,NA,NA,0.0240718954816223,0,0.1
"290","sp20","sp27",2,0.00807108295932735,NA,0.00268520826653923,0,0.1
"291","sp20","sp36",4,-0.0401876154375289,-0.0378676102396736,-0.0381925888521952,3,0.1
"292","sp20","sp36",8,-0.00256619036231387,-0.00100671736000564,NA,1,0.1
"293","sp20","sp36",9,-0.044422683275308,-0.0245931248848643,-0.0272230593068609,3,0.1
"294","sp20","sp36",10,-0.0510095914167957,-0.0317411363278493,-0.0411796754697294,3,0.1
"295","sp21","sp40",1,-0.0544236141642133,-0.0222658094990013,-0.0497761573019883,3,0.1
"296","sp21","sp43",2,NA,0.00245844765676689,NA,0,0.1
"297","sp21","sp43",3,0.00214722642745363,0.0370625854573332,0.0146578180836508,3,0.1
"298","sp21","sp43",4,NA,0.00888349472227395,NA,0,0.1
"299","sp21","sp43",6,0.0120033260325698,0.0245073727899805,0.0267204626431413,3,0.1
"300","sp21","sp43",10,NA,0.0084084896602668,NA,0,0.1
"301","sp22","sp44",2,NA,0.011635678740559,NA,0,0.1
