"","Time","L_Edge_weight","O_Edge_weight","Cov_Edge_weight","Recovery","CovariateStrength"
"237",2,0.096174733929043,0.0392086660348167,0.102716530167773,3,0.1
"238",3,NA,0.00502642041813794,NA,0,0.1
"239",5,0.0299355721935904,0.0372367688907166,0.0298104636609299,3,0.1
"240",6,0.0924892138369409,0.10240696458598,0.102291923475864,3,0.1
"241",9,0.0421543848427512,0.0235579140107184,0.0378349070946418,3,0.1
"242",5,-0.000227190304954453,-0.00102543068519816,NA,1,0.1
"243",7,NA,NA,-0.00153152814079645,0,0.1
"244",10,NA,NA,-0.000334445173954277,0,0.1
"245",5,0.00683520139853572,0.0136652464785773,0.0266618596525597,3,0.1
"246",7,NA,NA,0.000809542613183995,0,0.1
"247",8,-0.000212559414426312,NA,NA,0,0.1
"248",2,-0.0184561465728723,NA,-0.00703923367652831,0,0.1
"249",8,-0.0330827865291864,-0.0481084287163092,-0.0382132221516385,3,0.1
"250",8,NA,0.000242647117726351,0.000201533895059388,2,0.1
"251",3,NA,-0.00460656030343337,NA,0,0.1
"252",5,NA,0.000975785450807374,NA,0,0.1
"253",2,-0.0134763447256217,NA,-0.0209403665657648,0,0.1
"254",3,-0.0742882600760192,-0.0616225929808529,-0.0842752146519335,3,0.1
"255",4,NA,-0.00207000470393064,-0.0017029716718369,2,0.1
"256",5,-0.0369930095648249,-0.0391312715378131,-0.033452301359808,3,0.1
"257",7,-0.177146324815533,-0.178347239985883,-0.187227659406579,3,0.1
"258",8,-0.0100165366805464,-0.0142251496431837,-0.0245812483657474,3,0.1
"259",9,-0.0415064336765147,-0.0392594779603861,-0.0535671200133006,3,0.1
"260",10,NA,NA,-0.00510532466258057,0,0.1
"261",3,-0.00297090141357212,-0.00272603212813354,-0.00282815249962069,3,0.1
"262",5,-0.00158273359902796,-0.00166943190832263,-0.000897481035174848,3,0.1
"263",5,NA,0.000358096287425645,NA,0,0.1
"264",3,NA,-0.0117395502115155,-0.00293100866003959,2,0.1
"265",3,0.0311425618300427,0.0115435679477003,0.0437935066669894,3,0.1
"266",5,0.000416346787176922,0.00354551806734708,0.000445118866356447,3,0.1
"267",7,0.0941985804685318,0.110283745394128,0.0989657092278458,3,0.1
"268",9,0.00340992258298582,0.00391932597454471,0.00489641580240813,3,0.1
"269",7,NA,0.00638087148474781,NA,0,0.1
"270",4,0.00442808555288648,NA,0.00291959159559418,0,0.1
"271",8,0.00898491466246469,0.00361604871314536,0.00492332175556705,3,0.1
"272",10,0.0232114071023172,0.0200443189460046,0.013990877882694,3,0.1
"273",7,NA,-0.00973680682087957,-0.0101074713081326,2,0.1
"274",2,NA,-0.018475681047039,NA,0,0.1
"275",6,NA,0.0328889583901627,NA,0,0.1
"276",2,-0.0138031613017947,-0.0198306185565017,-0.0152825373579114,3,0.1
"277",3,-0.023320061903792,-0.0181144669682718,-0.0324096802319728,3,0.1
"278",6,-0.00114601990908758,-0.002455987114973,-0.00193505007263788,3,0.1
"279",8,-0.00446719743658768,-0.012165451225271,-0.00283090933396109,3,0.1
"280",10,-0.000547238410133011,-0.000228423455510598,-0.000568713531115118,3,0.1
"281",4,NA,-0.028696147295574,-0.00611586609342297,2,0.1
"282",6,-0.0114977689462295,-0.0241861667956018,-0.00874559084387244,3,0.1
"283",10,-0.0220089404501919,NA,-0.0116494100949219,0,0.1
"284",4,NA,0.000798172499281068,0.000215411895362526,2,0.1
"285",6,0.000565603840118912,0.00113803912153005,0.000350572156435031,3,0.1
"286",2,0.0833695755366753,0.0686618827413985,0.0491447181291677,3,0.1
"287",4,0.0108487958707096,0.0137241662369056,0.0121109948342984,3,0.1
"288",6,NA,0.0202684541925565,0.0135996778639791,2,0.1
"289",10,NA,NA,0.0240718954816223,0,0.1
"290",2,0.00807108295932735,NA,0.00268520826653923,0,0.1
"291",4,-0.0401876154375289,-0.0378676102396736,-0.0381925888521952,3,0.1
"292",8,-0.00256619036231387,-0.00100671736000564,NA,1,0.1
"293",9,-0.044422683275308,-0.0245931248848643,-0.0272230593068609,3,0.1
"294",10,-0.0510095914167957,-0.0317411363278493,-0.0411796754697294,3,0.1
"295",1,-0.0544236141642133,-0.0222658094990013,-0.0497761573019883,3,0.1
"296",2,NA,0.00245844765676689,NA,0,0.1
"297",3,0.00214722642745363,0.0370625854573332,0.0146578180836508,3,0.1
"298",4,NA,0.00888349472227395,NA,0,0.1
"299",6,0.0120033260325698,0.0245073727899805,0.0267204626431413,3,0.1
"300",10,NA,0.0084084896602668,NA,0,0.1
"301",2,NA,0.011635678740559,NA,0,0.1
"302",2,NA,0.000233744553673169,NA,0,0.1
"303",5,-0.0476516611066395,-0.0405011873223837,-0.0391169172137583,3,0.1
"304",2,NA,0.00386256735191121,NA,0,0.1
"305",5,NA,-0.000237675031107564,NA,0,0.1
"306",5,NA,0.0273324764625756,NA,0,0.1
"307",4,NA,0.0554344784376601,NA,0,0.1
"308",7,0.0287244429856903,0.00893396236962374,0.0486735409513796,3,0.1
"309",8,0.023450864119596,0.0395125323225112,0.0351081083709456,3,0.1
"310",3,NA,0.000203665911411765,NA,0,0.1
"311",2,-0.00205976360827077,-0.00204011097988834,-0.00881311140946234,3,0.1
"312",4,NA,-0.0511982636917842,NA,0,0.1
"313",6,NA,-0.0148538505064537,NA,0,0.1
"314",4,NA,-0.00202090312614394,NA,0,0.1
"315",2,NA,0.000263731445019215,NA,0,0.1
"316",1,-0.000532540562478858,NA,NA,0,0.1
"317",1,-0.00240680335257409,-0.000546922683570746,-0.000872465299226304,3,0.1
"318",1,-0.07751679453417,-0.0665679304286534,-0.0663607979034761,3,0.1
"319",2,NA,0.0380924681330873,NA,0,0.1
"320",3,0.114966914905869,0.033994694192405,0.124944913441671,3,0.1
"321",4,NA,0.00913386957565619,NA,0,0.1
"322",2,0.000363152710523342,NA,NA,0,0.1
"323",2,0.0124989316773656,NA,0.00615616756575212,0,0.1
"324",10,0.0390938643817245,NA,0.0283722468025589,0,0.1
"325",5,NA,0.000363105591362053,0.000566370367456065,2,0.1
"326",1,NA,-0.0277343334791131,NA,0,0.1
"327",1,0.000294605942031948,NA,NA,0,0.1
"328",1,0.00948848116428452,NA,NA,0,0.1
"329",3,0.0558516836714548,0.0616579932316475,0.0466579380641007,3,0.1
"330",5,0.0600267407812305,0.0597862442545614,0.0376493883983841,3,0.1
"331",6,-0.0275265918454194,-0.0476556990613797,-0.0248456246616126,3,0.1
"332",3,NA,0.000519030694466425,NA,0,0.1
"333",6,NA,0.0320737867122908,0.0195065209744164,2,0.1
"334",3,-0.033492686256014,-0.0124828599301334,-0.0388694645349032,3,0.1
"335",4,-0.0374832673420887,-0.017672609207513,-0.0273232330638075,3,0.1
"336",5,-0.0157903646477942,-0.0121859978974804,-0.0186727656920766,3,0.1
"337",6,-0.00724757706521129,-0.0158560695753929,-0.000631897652822955,3,0.1
"338",7,-0.0119592874928508,-0.021390801538997,-0.013345446995253,3,0.1
"339",9,-0.114643798428221,-0.139512045217322,-0.12794381642732,3,0.1
"340",2,NA,0.0201563063357905,NA,0,0.1
"341",8,-0.00744098333873766,-0.00702183844352905,-0.00735190421595877,3,0.1
"342",2,-0.103163121922634,-0.0791611795984569,-0.0710119145960189,3,0.1
"343",4,-0.0778883514715368,-0.0390627550451938,-0.0494790579222968,3,0.1
"344",6,-0.0688416441284403,-0.0655590754148566,-0.0558332874159794,3,0.1
"345",9,-0.0265688080125073,-0.00897406875461004,NA,1,0.1
"346",4,0.000309578229485376,NA,NA,0,0.1
"347",4,NA,-0.000280427021933969,NA,0,0.1
"348",6,NA,-0.000351839827792188,NA,0,0.1
"349",10,NA,NA,-0.000201087460029095,0,0.1
"350",7,NA,NA,-0.000428264602732454,0,0.1
"351",3,-0.00133942387182709,-0.00055221105725148,-0.00130440217491374,3,0.1
"352",5,-0.00067558549474523,-0.000519883278138506,-0.000500965625732318,3,0.1
"353",3,NA,0.0227441164950273,NA,0,0.1
"354",4,0.0316552374700163,0.0284499049545361,0.0259348247354769,3,0.1
"355",1,0.0428829461754714,0.0113261823646,0.0181087299760279,3,0.1
"356",4,-0.00558843620401667,NA,-0.00152748127079022,0,0.1
"357",7,NA,NA,0.033920953619182,0,0.1
"358",6,NA,-0.00109703986500731,-0.000347956380360004,2,0.1
"359",2,0.0405661058031083,0.0279077344155351,0.0256027961304563,3,0.1
"360",6,NA,0.00054233510319721,NA,0,0.1
"361",6,NA,-0.000365008609025573,NA,0,0.1
