"","Time","L_Edge_weight","O_Edge_weight","Cov_Edge_weight","Recovery","Connectance"
"334",6,NA,NA,0.0299960921565678,0,0.1
"335",7,NA,NA,0.0295889366371859,0,0.1
"336",8,NA,NA,0.0572008891331503,0,0.1
"337",9,NA,NA,0.0547293285876693,0,0.1
"338",10,NA,NA,0.0812071190808422,0,0.1
"339",3,NA,NA,-0.00112371144291261,0,0.1
"340",2,NA,NA,-0.000695151394254459,0,0.1
"341",10,NA,0.00022540557002168,NA,0,0.1
"342",1,NA,NA,-0.000247108504157309,0,0.1
"343",1,NA,NA,-0.00149797000494722,0,0.1
"344",5,NA,NA,-0.000808058538839641,0,0.1
"345",5,NA,NA,-0.000820773346587645,0,0.1
"346",1,NA,NA,-0.00591296721185998,0,0.1
"347",1,NA,NA,-0.00213133264348544,0,0.1
"348",1,NA,NA,0.0790517264413066,0,0.1
"349",2,NA,NA,0.124868288081657,0,0.1
"350",3,NA,NA,0.0719820995750332,0,0.1
"351",4,NA,NA,0.0270087478865773,0,0.1
"352",5,NA,NA,0.108532782796909,0,0.1
"353",6,NA,NA,0.0706668079519166,0,0.1
"354",7,NA,NA,0.201887669210348,0,0.1
"355",8,NA,NA,0.17653763865037,0,0.1
"356",9,NA,NA,0.184056504224705,0,0.1
"357",10,NA,NA,0.0736547706310027,0,0.1
"358",1,NA,NA,0.123488995585134,0,0.1
"359",2,NA,NA,0.215309789789006,0,0.1
"360",3,NA,NA,0.160677018715956,0,0.1
"361",4,NA,NA,0.07685291452184,0,0.1
"362",5,NA,NA,0.196244990401053,0,0.1
"363",6,NA,NA,0.206763946048066,0,0.1
"364",7,NA,NA,0.207222169513092,0,0.1
"365",8,NA,NA,0.272959516433346,0,0.1
"366",9,NA,NA,0.251429554572431,0,0.1
"367",10,NA,NA,0.229029321201659,0,0.1
"368",1,NA,NA,0.00823649795190604,0,0.1
"369",2,NA,NA,0.0195234729522661,0,0.1
"370",3,NA,NA,0.0510525618531732,0,0.1
"371",4,NA,NA,0.00314241904324875,0,0.1
"372",5,NA,NA,0.0580629621404076,0,0.1
"373",6,NA,NA,0.0112529613704635,0,0.1
"374",7,NA,NA,0.00568872579947844,0,0.1
"375",8,NA,NA,0.0175022194428677,0,0.1
"376",9,NA,NA,0.0064970904704822,0,0.1
"377",10,NA,NA,0.00664262307981668,0,0.1
"378",1,NA,NA,0.0714715261118904,0,0.1
"379",2,NA,NA,0.231023169569541,0,0.1
"380",3,NA,NA,0.200499408137652,0,0.1
"381",4,NA,NA,0.149960500319205,0,0.1
"382",5,NA,NA,0.178945968418221,0,0.1
"383",6,NA,NA,0.158382527481071,0,0.1
"384",7,NA,NA,0.169727467297059,0,0.1
"385",8,NA,NA,0.208693127301414,0,0.1
"386",9,NA,NA,0.155183631263536,0,0.1
"387",10,NA,NA,0.214421407211278,0,0.1
"388",1,NA,NA,0.0301614576964919,0,0.1
"389",2,NA,NA,0.0509873467588616,0,0.1
"390",3,NA,NA,0.0878611517531361,0,0.1
"391",4,NA,NA,0.0435807019890188,0,0.1
"392",5,NA,NA,0.032532515420565,0,0.1
"393",6,NA,NA,0.0836320167666263,0,0.1
"394",7,NA,NA,0.0869081299230106,0,0.1
"395",8,NA,NA,0.156683650533748,0,0.1
"396",9,NA,NA,0.0245526516796612,0,0.1
"397",10,NA,NA,0.052677956859775,0,0.1
"398",1,NA,NA,0.0435551118017255,0,0.1
"399",2,NA,NA,0.0603428087722896,0,0.1
"400",3,NA,NA,0.107711450757074,0,0.1
"401",4,NA,NA,0.00717265701777688,0,0.1
"402",5,NA,NA,0.152050305556108,0,0.1
"403",6,NA,NA,0.0182780698848584,0,0.1
"404",7,NA,NA,0.0126422690196115,0,0.1
"405",8,NA,NA,0.00925829572471772,0,0.1
"406",9,NA,NA,0.0536369810632927,0,0.1
"407",10,NA,NA,0.00884166144338513,0,0.1
"408",1,NA,NA,0.0450643339056426,0,0.1
"409",2,NA,NA,0.0476272617789952,0,0.1
"410",3,NA,NA,0.0387154974798934,0,0.1
"411",4,NA,NA,0.0256841845809466,0,0.1
"412",5,NA,NA,0.0367247776931788,0,0.1
"413",6,NA,NA,0.0227012819682954,0,0.1
"414",7,NA,NA,0.0687242069265434,0,0.1
"415",8,NA,NA,0.086711226986657,0,0.1
"416",9,NA,NA,0.0234761836114417,0,0.1
"417",10,NA,NA,0.0893314920287087,0,0.1
"418",3,NA,NA,-0.000936974366464754,0,0.1
"419",10,NA,NA,-0.00123783923025915,0,0.1
"420",2,NA,NA,-0.000377231242795545,0,0.1
"421",1,NA,NA,-0.000545224861115029,0,0.1
"422",1,NA,NA,-0.00774436590758607,0,0.1
"423",5,NA,NA,-0.000273350777152797,0,0.1
"424",5,NA,NA,-0.00662390814986888,0,0.1
"425",7,NA,0.00025356149908823,NA,0,0.1
"426",1,NA,NA,-0.00310405826907657,0,0.1
"427",1,NA,NA,-0.00149112798465088,0,0.1
"428",1,NA,NA,0.150523487094581,0,0.1
"429",2,NA,NA,0.248300610265963,0,0.1
"430",3,NA,NA,0.126166394794625,0,0.1
"431",4,NA,NA,0.232565607403578,0,0.1
"432",5,NA,NA,0.168027501705357,0,0.1
"433",6,NA,NA,0.194524588462001,0,0.1
"434",7,NA,NA,0.25528400305725,0,0.1
"435",8,NA,NA,0.232720158539949,0,0.1
"436",9,NA,NA,0.193367901463868,0,0.1
"437",10,NA,NA,0.197553194619066,0,0.1
"438",1,NA,NA,0.0769730136339163,0,0.1
"439",2,NA,NA,0.0763665259423607,0,0.1
"440",3,NA,NA,0.147477502574743,0,0.1
"441",4,NA,NA,0.00212040581291728,0,0.1
"442",5,NA,NA,0.189218277710256,0,0.1
"443",6,NA,NA,0.18351869220745,0,0.1
"444",7,NA,NA,0.0283503148491804,0,0.1
"445",8,NA,NA,0.0912036587532882,0,0.1
"446",9,NA,NA,0.0382990046568432,0,0.1
"447",10,NA,NA,0.072553627651694,0,0.1
"448",1,NA,NA,0.0155175207806549,0,0.1
"449",2,NA,NA,0.0464413415654294,0,0.1
"450",3,NA,NA,0.036425059869372,0,0.1
"451",4,NA,NA,0.0782171104683117,0,0.1
"452",5,NA,NA,0.0377118800629682,0,0.1
"453",6,NA,NA,0.0264334507560695,0,0.1
"454",7,NA,NA,0.0424697000632051,0,0.1
"455",8,NA,NA,0.175385739352788,0,0.1
"456",9,NA,NA,0.0298803744769035,0,0.1
"457",10,NA,NA,0.0279736474562298,0,0.1
"458",1,NA,NA,0.00872094735783972,0,0.1
"459",2,NA,NA,0.249050341861471,0,0.1
"460",3,NA,NA,0.272682428058047,0,0.1
"461",4,NA,NA,0.295458525005253,0,0.1
"462",5,NA,NA,0.232167299588106,0,0.1
"463",6,NA,NA,0.216288678734755,0,0.1
"464",7,NA,NA,0.14520778391577,0,0.1
"465",8,NA,NA,0.268019491139458,0,0.1
"466",9,NA,NA,0.0682188442124076,0,0.1
"467",10,NA,NA,0.233592781460269,0,0.1
"468",1,NA,NA,0.0122086110135044,0,0.1
"469",2,NA,NA,0.0322800890382176,0,0.1
"470",3,NA,NA,0.0754065498305223,0,0.1
"471",4,NA,NA,0.00513348273465187,0,0.1
"472",5,NA,NA,0.125613164695561,0,0.1
"473",6,NA,NA,0.0316049536859253,0,0.1
"474",7,NA,NA,0.0106461154597426,0,0.1
"475",8,NA,NA,0.0163657672639706,0,0.1
"476",9,NA,NA,0.0171458086462197,0,0.1
"477",10,NA,NA,0.0155728131667983,0,0.1
"478",1,NA,NA,0.0121029531412804,0,0.1
"479",2,NA,NA,0.0678817103464077,0,0.1
"480",3,NA,NA,0.146975421768157,0,0.1
"481",4,NA,NA,0.124032160007567,0,0.1
"482",5,NA,NA,0.225061244896575,0,0.1
"483",6,NA,NA,0.10416448203421,0,0.1
"484",7,NA,NA,0.0402755394361962,0,0.1
"485",8,NA,NA,0.153197647724584,0,0.1
"486",9,NA,NA,0.0854087474349403,0,0.1
"487",10,NA,NA,0.153459542325984,0,0.1
"488",3,NA,NA,-0.00355703043125376,0,0.1
"489",10,NA,NA,-0.000222220444907389,0,0.1
"490",2,NA,NA,-0.000537656396789872,0,0.1
"491",1,NA,NA,-0.00443704451811104,0,0.1
"492",5,NA,NA,-0.00195075944168706,0,0.1
"493",5,NA,NA,-0.00567147592673835,0,0.1
"494",1,NA,NA,-0.0559531024913071,0,0.1
"495",10,NA,-0.00327737915111936,NA,0,0.1
"496",1,NA,NA,-0.000323745843215016,0,0.1
"497",1,NA,NA,0.0478677473007223,0,0.1
