"","Source","Sink","Time","L_Edge_weight","O_Edge_weight","Cov_Edge_weight","Recovery","Connectance"
"372","sp23","sp26",5,NA,NA,0.0580629621404076,0,0.1
"373","sp23","sp26",6,NA,NA,0.0112529613704635,0,0.1
"374","sp23","sp26",7,NA,NA,0.00568872579947844,0,0.1
"375","sp23","sp26",8,NA,NA,0.0175022194428677,0,0.1
"376","sp23","sp26",9,NA,NA,0.0064970904704822,0,0.1
"377","sp23","sp26",10,NA,NA,0.00664262307981668,0,0.1
"378","sp23","sp27",1,NA,NA,0.0714715261118904,0,0.1
"379","sp23","sp27",2,NA,NA,0.231023169569541,0,0.1
"380","sp23","sp27",3,NA,NA,0.200499408137652,0,0.1
"381","sp23","sp27",4,NA,NA,0.149960500319205,0,0.1
"382","sp23","sp27",5,NA,NA,0.178945968418221,0,0.1
"383","sp23","sp27",6,NA,NA,0.158382527481071,0,0.1
"384","sp23","sp27",7,NA,NA,0.169727467297059,0,0.1
"385","sp23","sp27",8,NA,NA,0.208693127301414,0,0.1
"386","sp23","sp27",9,NA,NA,0.155183631263536,0,0.1
"387","sp23","sp27",10,NA,NA,0.214421407211278,0,0.1
"388","sp23","sp28",1,NA,NA,0.0301614576964919,0,0.1
"389","sp23","sp28",2,NA,NA,0.0509873467588616,0,0.1
"390","sp23","sp28",3,NA,NA,0.0878611517531361,0,0.1
"391","sp23","sp28",4,NA,NA,0.0435807019890188,0,0.1
