"","Time","L_Edge_weight","O_Edge_weight","Cov_Edge_weight","Recovery","TaxaSize"
"5705","3",NA,NA,-0.00203800392917007,0,100
"5706","4",NA,NA,-0.00160314130563978,0,100
"5707","5",NA,NA,-0.00267377828334049,0,100
"5708","6",NA,NA,-0.00297275336233465,0,100
"5709","8",NA,NA,-0.00161696155628773,0,100
"5710","9",NA,NA,-0.0146572064347134,0,100
"5711","10",NA,NA,-0.00310140616927269,0,100
"5712","2",NA,NA,-0.000676067445341404,0,100
"5713","3",NA,NA,-0.00116097544728193,0,100
"5714","4",NA,NA,-0.00124659416256113,0,100
"5715","5",NA,NA,-0.0154780881224069,0,100
"5716","6",NA,NA,-0.0388754403156511,0,100
"5717","8",NA,NA,-0.041145881844214,0,100
"5718","9",NA,NA,-0.0187624720034644,0,100
"5719","10",NA,NA,-0.00124190073083478,0,100
"5720","2",NA,NA,-0.00348716037639908,0,100
"5721","3",NA,NA,-0.0101401187886442,0,100
"5722","4",NA,NA,-0.00838003234423516,0,100
"5723","5",NA,NA,-0.00636887444262598,0,100
"5724","6",NA,NA,-0.00568344821837072,0,100
"5725","7",NA,NA,-0.00793129779060725,0,100
"5726","8",NA,NA,-0.000867231828862667,0,100
"5727","9",NA,NA,-0.0406034361278715,0,100
"5728","10",NA,NA,-0.0183002744500702,0,100
"5729","2",NA,NA,-0.000582660131889702,0,100
"5730","3",NA,NA,-0.00185216139692934,0,100
"5731","4",NA,NA,-0.00167896204578936,0,100
"5732","5",NA,NA,-0.00296490692131468,0,100
"5733","6",NA,NA,-0.00380583309583829,0,100
"5734","7",NA,NA,-0.000697080569018856,0,100
"5735","8",NA,NA,-0.00290016459807183,0,100
"5736","9",NA,NA,-0.0526240865612092,0,100
"5737","10",NA,NA,-0.00277641219064649,0,100
"5738","2",NA,NA,-0.00347961899654433,0,100
"5739","3",NA,NA,-0.00474823499656168,0,100
"5740","4",NA,NA,-0.00262291144181777,0,100
"5741","5",NA,NA,-0.00817408512787091,0,100
"5742","6",NA,NA,-0.00362569124953162,0,100
"5743","7",NA,NA,-0.000363682694411105,0,100
"5744","8",NA,NA,-0.00359338146240512,0,100
"5745","9",NA,NA,-0.00775182744902852,0,100
"5746","10",NA,NA,-0.004574822136069,0,100
"5747","2",NA,NA,-0.00206749338024448,0,100
"5748","3",NA,NA,-0.00422789419005202,0,100
"5749","4",NA,NA,-0.00194338818869116,0,100
"5750","5",NA,NA,-0.00649394162460749,0,100
"5751","6",NA,NA,-0.000592167611969579,0,100
"5752","7",NA,NA,-0.00021631018573796,0,100
"5753","8",NA,NA,-0.00108066135181393,0,100
"5754","9",NA,NA,-0.0131890691577862,0,100
"5755","10",NA,NA,-0.00107521891297006,0,100
"5756","2",NA,NA,-0.000229466032767223,0,100
"5757","4",NA,NA,-0.000630297621052833,0,100
"5758","5",NA,NA,-0.0015876571638926,0,100
"5759","6",NA,NA,-0.00372100119732822,0,100
"5760","8",NA,NA,-0.000292920884359744,0,100
"5761","9",NA,NA,-0.00108541767805458,0,100
"5762","3",NA,NA,-0.000253972950815992,0,100
"5763","6",NA,NA,-0.000892003397792454,0,100
"5764","8",NA,NA,-0.00156911589615737,0,100
"5765","9",NA,NA,-0.000969743698288886,0,100
"5766","10",NA,NA,-0.000461378651824518,0,100
"5767","2",NA,NA,-0.00318426553658574,0,100
"5768","3",NA,NA,-0.000795616882971282,0,100
"5769","4",NA,NA,-0.00386443529659776,0,100
"5770","5",NA,NA,-0.00109341713584579,0,100
"5771","6",NA,NA,-0.00456933921853842,0,100
"5772","7",NA,NA,-0.000658741292106159,0,100
"5773","8",NA,NA,-0.000462128148407302,0,100
"5774","9",NA,NA,-0.0107518315527648,0,100
"5775","10",NA,NA,-0.00309425029844072,0,100
"5776","5",NA,NA,-0.000549755511404647,0,100
"5777","6",NA,NA,-0.0126535349507697,0,100
